Date,AvgFreq_Hz,FreqVariationIndex,Freq_4990_5005_pct,Freq_below_4990_pct,Bhutan_Exchange_MU,Bhutan_DayPeak_MW,Bhutan_DayAvg_MW,Nepal_Exchange_MU,Nepal_DayPeak_MW,Nepal_DayAvg_MW,Bangladesh_Exchange_MU,Bangladesh_DayPeak_MW,Bangladesh_DayAvg_MW,Flow_East_to_North,Flow_East_to_NorthEast,Flow_East_to_South,Flow_East_to_West,Flow_NorthEast_to_North,Flow_West_to_North,Flow_West_to_South
17-04-2023,50.0,0.079,59.19,12.2,2.2,90.0,-13.3,-753.0,-555.0,-24.9,-1102.0,-1039.0,,-27.6,4.7,-106.7,30.8,10.0,-56.1,-140.4
18-04-2023,50.0,0.041,73.88,5.23,0.9,38.0,-14.6,-712.0,-607.0,-25.3,-1104.0,-1053.0,,-16.1,4.7,-103.0,36.4,10.1,-69.0,-148.1
19-04-2023,50.0,0.053,67.25,8.3,4.1,170.0,-11.3,-607.0,-471.0,-25.5,-1101.0,-1062.0,,-28.5,7.3,-110.1,43.8,10.7,-52.3,-164.2
20-04-2023,50.01,0.042,69.14,4.97,5.4,226.0,-12.6,-824.0,-525.0,-24.8,-1090.0,-1034.0,,-28.2,16.7,-109.6,35.1,10.7,-46.8,-165.2
21-04-2023,50.01,0.055,63.66,7.14,5.5,229.0,-13.2,-760.0,-548.0,-24.2,-1084.0,-1007.0,,-34.9,17.9,-105.4,39.7,11.4,-55.3,-156.3
22-04-2023,50.01,0.04,72.87,2.3,5.7,239.0,-12.7,-713.0,-528.0,-24.8,-1103.0,-1032.0,,-54.8,17.9,-106.7,28.5,11.4,-39.5,-149.2
23-04-2023,50.02,0.064,64.24,4.85,3.7,153.0,-13.9,-719.0,-578.0,-25.0,-1093.0,-1043.0,,-31.1,15.9,-102.6,27.5,11.4,-26.5,-123.1
24-04-2023,49.98,0.052,72.0,11.76,0.6,24.0,-12.4,-641.0,-519.0,-23.3,-1092.0,-973.0,,-52.1,13.0,-109.8,0.6,11.5,-36.3,-147.2
25-04-2023,50.0,0.063,68.67,6.49,-1.9,-79.0,-12.3,-627.0,-512.0,-25.2,-1089.0,-1048.0,,-64.6,9.3,-103.5,-10.8,11.5,-55.8,-129.7
26-04-2023,49.98,0.085,66.19,16.56,-3.2,-131.0,-13.7,-645.0,-572.0,-24.8,-1081.0,-1033.0,,-56.6,7.4,-98.5,0.6,11.5,-77.1,-120.5
27-04-2023,49.99,0.055,71.64,9.99,-3.4,-143.0,-15.6,-708.0,-649.0,-16.0,-1061.0,-666.0,,-66.9,5.2,-106.9,8.5,11.5,-91.5,-127.0
28-04-2023,49.97,0.088,68.7,15.35,0.8,35.0,-13.9,-640.0,-579.0,-14.6,-661.0,-608.0,,-64.7,6.6,-108.8,-2.4,10.3,-66.9,-147.0
29-04-2023,50.0,0.058,66.04,9.29,1.2,49.0,-12.8,-576.0,-534.0,-14.4,-661.0,-598.0,,-61.3,4.3,-105.7,8.1,7.2,-63.7,-130.6
30-04-2023,50.01,0.108,56.42,13.11,2.1,86.0,-12.5,-616.0,-519.0,-17.8,-1091.0,-740.0,,-57.1,13.1,-101.4,21.6,10.8,-70.4,-87.1
01-05-2023,49.98,0.085,63.83,17.47,5.7,239.0,-6.6,-407.0,-274.0,-25.5,-1111.0,-1064.0,,-66.8,11.3,-90.8,10.7,9.8,-75.3,-41.9
02-05-2023,50.0,0.057,65.56,9.31,9.4,390.0,-11.4,-626.0,-474.0,-25.9,-1106.0,-1080.0,,-53.2,7.8,-98.2,9.3,6.9,-86.0,-41.1
03-05-2023,49.99,0.042,77.12,8.33,1.3,53.0,-12.4,-641.0,-518.0,-25.6,-1104.0,-1068.0,,-50.7,8.9,-105.0,13.7,10.4,-79.4,-37.2
04-05-2023,50.0,0.046,73.03,6.93,0.5,20.0,-9.8,-346.0,-406.0,-25.6,-1089.0,-1067.0,,-51.2,2.1,-107.4,16.4,6.8,-80.2,-30.2
05-05-2023,49.99,0.049,72.74,9.91,1.7,69.0,-9.7,-468.0,-405.0,-25.7,-1128.0,-1070.0,,-60.2,1.6,-103.2,6.0,6.9,-80.4,-61.4
06-05-2023,49.99,0.049,72.74,9.91,-0.1,-3.0,-11.1,-508.0,-461.0,-25.5,-1106.0,-1061.0,,-59.8,4.1,-103.0,15.8,6.8,-112.0,-33.4
07-05-2023,49.99,0.044,74.97,6.82,3.5,145.0,-12.9,-680.0,-537.0,-25.7,-1101.0,-1072.0,,-50.1,1.3,-102.3,22.3,6.8,-70.6,-34.1
08-05-2023,49.99,0.046,72.66,10.94,3.5,145.0,-13.1,-607.0,-544.0,-25.7,-1110.0,-1071.0,,-46.8,7.8,-105.4,27.7,11.3,-103.8,-42.6
09-05-2023,50.0,0.035,76.26,5.97,4.4,182.0,-13.4,-660.0,-560.0,-25.6,-1109.0,-1065.0,,-44.0,3.5,-98.9,29.2,10.4,-160.1,-33.5
10-05-2023,50.01,0.041,72.78,3.77,7.2,299.0,-13.3,-688.0,-553.0,-25.6,-1135.0,-1066.0,,-38.9,-2.6,-101.0,38.6,4.0,-161.2,-28.4
11-05-2023,50.0,0.047,69.77,7.44,3.0,124.0,-13.6,-734.0,-566.0,-25.5,-1128.0,-1064.0,,-36.4,-2.6,-94.8,33.1,7.1,-156.8,-24.2
12-05-2023,49.98,0.052,70.64,11.86,1.4,56.0,-15.9,-720.0,-662.0,-24.2,-1099.0,-1010.0,,-32.3,-5.1,-94.5,40.7,7.0,-198.7,-19.9
13-05-2023,49.97,0.046,78.0,12.0,-1.7,-69.0,-14.5,-659.0,-603.0,-25.0,-1089.0,-1043.0,,-50.7,-5.8,-90.4,45.5,6.8,-194.1,11.8
14-05-2023,50.01,0.062,64.24,6.39,-0.5,-23.0,-13.5,-661.0,-562.0,-25.5,-1088.0,-1060.0,,-54.2,1.1,-88.7,55.8,6.6,-169.2,9.4
15-05-2023,50.02,0.079,64.26,5.74,1.0,43.0,-8.1,-584.0,-337.0,-25.2,-1170.0,-1050.0,,-66.8,5.2,-108.4,44.3,11.3,-134.3,-59.8
16-05-2023,49.99,0.058,71.78,9.79,2.1,88.0,-11.4,-587.0,-474.0,-21.0,-1106.0,-876.0,,-61.8,8.3,-108.4,0.8,10.1,-128.0,-111.1
17-05-2023,49.99,0.05,73.43,9.98,2.5,102.0,-8.2,-545.0,-342.0,-24.5,-1074.0,-1023.0,,-52.9,16.5,-102.3,3.6,11.4,-137.6,-162.4
18-05-2023,50.0,0.11,62.55,17.55,2.2,92.0,-7.3,-496.0,-305.0,-23.1,-1074.0,-961.0,,-47.8,12.5,-109.1,28.3,11.6,-65.0,-170.6
19-05-2023,50.0,0.051,68.25,5.6,3.0,124.0,-6.3,-381.0,-263.0,-24.7,-1081.0,-1030.0,,-71.9,14.2,-113.0,41.8,11.5,-137.8,-115.1
20-05-2023,49.98,0.045,73.9,6.15,5.3,221.0,-4.1,-162.0,-172.0,-24.7,-1103.0,-1030.0,,-79.7,15.1,-103.9,33.0,11.5,-129.0,-99.5
21-05-2023,50.03,0.041,74.26,6.15,3.0,123.0,-5.9,-396.0,-244.0,-25.2,-1114.0,-1049.0,,-63.3,14.0,-102.0,43.8,11.4,-132.9,-64.3
22-05-2023,50.02,0.078,66.25,14.47,0.6,25.0,-7.2,-515.0,-302.0,-25.0,-1105.0,-1040.0,,-59.7,13.1,-103.5,43.0,10.5,-149.4,-70.8
23-05-2023,49.99,0.057,59.27,1.77,2.1,89.0,-6.6,-406.0,-277.0,-23.3,-1098.0,-972.0,,-69.5,6.3,-109.1,22.3,9.5,-174.7,-90.0
24-05-2023,49.99,0.044,69.62,6.12,2.7,112.0,-4.9,-411.0,-206.0,-24.5,-1069.0,-1020.0,,-28.5,5.4,-104.5,32.9,10.3,-103.3,-93.8
