Date,State,Region,Energy_Consumption_MU,MaxDemand_MW,PeakShortage_MW,Reg_EveningDemand_MW,Reg_EveningShortage_MW,Reg_EnergyMet_MU,Reg_HydroGen_MU,Grid_AvgFreq_Hz,Grid_FreqVariationIndex,Grid_NormalBand_pct,Bhutan_Exchange_MU,Bhutan_DayPeak_MW,Nepal_Exchange_MU,Nepal_DayPeak_MW,Bangladesh_Exchange_MU,Bangladesh_DayPeak_MW
17-04-2023,Bihar,ER,127.2,6143.0,209.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,DVC,ER,77.1,3547.0,0.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Jharkhand,ER,35.2,1652.0,238.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Odisha,ER,128.8,6370.0,0.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Sikkim,ER,1.6,99.0,0.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,West Bengal,ER,234.8,11438.0,0.0,27455.0,479.0,605.0,45.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Arunachal Pradesh,NER,2.6,154.0,0.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Assam,NER,35.6,1969.0,0.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Manipur,NER,2.8,204.0,26.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Meghalaya,NER,5.3,300.0,38.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Mizoram,NER,2.0,124.0,0.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Nagaland,NER,2.4,146.0,0.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Tripura,NER,6.4,336.0,0.0,3096.0,57.0,57.0,9.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Chandigarh,NR,4.9,248.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Delhi,NR,101.1,5059.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,HP,NR,31.5,1602.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Haryana,NR,155.4,8186.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,J&K,NR,57.5,2793.0,135.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Punjab,NR,159.7,7922.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Railways_NR,NR,3.8,175.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Rajasthan,NR,281.3,13385.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,UP,NR,425.5,22211.0,235.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Uttarakhand,NR,42.4,2228.0,0.0,59936.0,879.0,1263.0,159.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Andhra Pradesh,SR,244.4,12093.0,0.0,51325.0,,1287.0,89.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Karnataka,SR,301.3,15790.0,0.0,51325.0,,1287.0,89.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Kerala,SR,100.6,4894.0,0.0,51325.0,,1287.0,89.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
17-04-2023,Pondy,SR,9.5,427.0,0.0,51325.0,,1287.0,89.0,50.0,0.079,59.19,2.2,90.0,-753.0,-555.0,-1102.0,-1039.0
